postal_Code_start,postal_code_end,time,memory_used(MB)
6216AT,6228JC,1465,134
6216AT,6212GN,1168,40
6216AT,6211BH,606,37
6216AT,6227XV,839,39
6216AT,6217AT,359,38
6216AT,6229HH,530,39
6216AT,6225GT,803,37
6216AT,6228SJ,698,34
6216AT,6226HN,590,39
6216AT,6216PT,967,33
6216AT,6215TX,710,40
6216AT,6225KM,941,39
6216AT,6217HC,542,38
6216AT,6215GG,669,35
6216AT,6211XK,543,38
6216AT,6225GM,858,102
6216AT,6217XC,409,38
6216AT,6224CD,730,34
6216AT,6211CB,611,38
6216AT,6225BH,707,34
6216AT,6224KW,536,34
6216AT,6226BN,555,38
6216AT,6221GD,490,34
6216AT,6222TW,475,36
6216AT,6226HL,498,39
6216AT,6211JV,474,37
6216AT,6225DD,912,98
6216AT,6217KG,556,37
6216AT,6221CL,666,132
6216AT,6211LN,429,36
6216AT,6211LV,524,39
6216AT,6223CH,702,39
6216AT,6215RH,672,40
6216AT,6221TS,432,33
6216AT,6225BL,906,34
6216AT,6217HG,429,38
6216AT,6226WC,883,182
6216AT,6222NG,826,184
6216AT,6218HG,552,86
6216AT,6212BP,1274,142
6216AT,6226XA,536,34
6216AT,6218SL,351,38
6216AT,6216PK,827,33
6216AT,6227GV,542,40
6216AT,6212GX,1175,186
6216AT,6229TL,550,34
6216AT,6218VT,389,32
6216AT,6213CN,789,36
6216AT,6218CZ,360,38
6216AT,6227BA,454,39
6216AT,6227TA,547,32
6216AT,6213CH,449,38
6216AT,6221BG,705,32
6216AT,6221HB,411,32
6216AT,6214RW,399,38
6216AT,6217BA,340,38
6216AT,6219BE,680,37
6216AT,6224KE,474,39
6216AT,6211LH,384,38
6216AT,6216CD,594,38
6216AT,6224GJ,412,32
6216AT,6221XW,465,39
6216AT,6217NZ,597,38
6216AT,6227VM,820,92
6216AT,6225XZ,571,32
6216AT,6224CC,686,38
6216AT,6212AV,617,37
6216AT,6222SH,622,39
6216AT,6214RE,439,38
6216AT,6215GD,652,40
6216AT,6215SR,634,35
6216AT,6227BR,555,34
6216AT,6222CE,555,34
6216AT,6224AN,803,39
6216AT,6216CA,558,31
6216AT,6216PC,759,33
6216AT,6221TK,390,38
6216AT,6227AZ,445,39
6216AT,6227CG,512,39
6216AT,6227HB,455,39
6216AT,6227RC,602,38
6216AT,6215PK,608,35
6216AT,6216TJ,700,35
6216AT,6218CC,330,38
6216AT,6211JG,566,34
6216AT,6226HJ,1235,40
6216AT,6224LS,831,40
6216AT,6228EN,643,39
6216AT,6228HH,691,39
6216AT,6224BH,704,38
6216AT,6211HM,788,40
6216AT,6217VZ,367,38
6216AT,6211EL,638,38
6216AT,6221TT,499,38
6216AT,6224XM,496,39
6216AT,6216VX,410,37
6216AT,6226XC,649,39
6216AT,6212EB,471,37
6216AT,6224GA,510,34
6216AT,6217BV,367,38
6216AT,6213CK,445,39
6216AT,6225AB,995,38
6216AT,6212EJ,964,33
6216AT,6211BS,635,88
6216AT,6224JJ,414,38
6216AT,6211HT,598,38
6216AT,6224AX,490,39
6216AT,6216VP,274,37
6216AT,6215XG,995,35
6216AT,6225GB,769,60
6216AT,6217LS,573,38
6216AT,6228AT,491,39
6216AT,6224AZ,447,39
6216AT,6219BG,764,40
6216AT,6226BP,681,39
6216AT,6218GM,649,35
6216AT,6229BG,539,36
6216AT,6225AD,702,39
6216AT,6228CB,674,32
6216AT,6218VH,344,38
6216AT,6224TE,451,39
6216AT,6228EA,495,39
6216AT,6211BC,685,134
6216AT,6222BV,465,38
6216AT,6218XD,397,38
6216AT,6217XH,425,38
6216AT,6226VP,520,39
6216AT,6212GP,730,185
6216AT,6215KM,588,33
6216AT,6217HV,433,38
6216AT,6222BH,407,39
6216AT,6212NL,739,35
6216AT,6219BB,636,40
6216AT,6221JN,482,38
6216AT,6226GL,421,31
6216AT,6227GE,460,32
6216AT,6222NA,610,39
6216AT,6213HD,698,40
6216AT,6227GK,468,32
6216AT,6217JL,541,38
6216AT,6216XR,497,37
6216AT,6215XS,1105,192
6216AT,6226CW,574,38
6216AT,6211RR,661,38
6216AT,6224DD,486,39
6216AT,6227VJ,356,37
6216AT,6221XA,718,41
6216AT,6224BP,686,38
6216AT,6218XB,348,38
6216AT,6229VS,525,39
6216AT,6217XN,427,38
6216AT,6229WZ,543,39
6216AT,6224KL,438,38
6216AT,6214TJ,453,38
6216AT,6223CM,592,32
6216AT,6223AE,492,39
6216AT,6213CV,725,34
6216AT,6222BJ,407,39
6216AT,6224TX,499,38
6216AT,6229EG,435,34
6216AT,6211HA,414,38
6216AT,6227ES,459,39
6216AT,6229VZ,568,36
6216AT,6222XR,501,39
6216AT,6211CM,511,37
6216AT,6222TD,484,34
6216AT,6211PN,588,38
6216AT,6214VZ,844,40
6216AT,6213BK,581,35
6216AT,6228JB,627,39
6216AT,6226XB,502,39
6216AT,6221XL,617,38
6216AT,6218XC,350,38
6216AT,6226DL,609,38
6216AT,6221TX,382,38
6216AT,6226VM,517,39
6216AT,6221HA,414,38
6216AT,6224XB,475,39
6216AT,6229AZ,447,39
6216AT,6229XA,545,32
6216AT,6221VA,428,38
6216AT,6223GD,443,37
6216AT,6221XD,711,36
6216AT,6218AW,369,33
6216AT,6216PZ,787,33
6216AT,6225KN,996,39
6216AT,6216NT,619,35
6216AT,6213EX,1286,35
6216AT,6222XS,449,39
6216AT,6229BN,503,39
6216AT,6225JK,764,36
6216AT,6212BR,1311,185
6216AT,6211KW,438,38
6216AT,6218VG,382,38
6216AT,6218SG,404,37
6216AT,6214XK,1050,40
6216AT,6221BP,658,37
6216AT,6226AV,590,39
6216AT,6227BV,531,38
6216AT,6211LX,409,39
6216AT,6216XS,512,37
6216AT,6222XE,525,39
6216AT,6215GC,551,40
6216AT,6217VJ,409,38
6216AT,6224KG,420,39
6216AT,6218RM,330,38
6216AT,6224JK,682,45
6216AT,6219CZ,723,39
6216AT,6226EM,438,38
6216AT,6223BC,420,39
6216AT,6224XV,465,39
6216AT,6228ES,525,39
6216AT,6227AD,549,38
6216AT,6227EL,483,39
6216AT,6218HB,630,40
6216AT,6228JV,392,40
6216AT,6225JN,881,36
6216AT,6221ER,596,38
6216AT,6228GK,579,32
6216AT,6218AT,367,37
6216AT,6224JB,516,39
6216AT,6211SN,580,38
6216AT,6224TP,494,39
6216AT,6224LX,489,38
6216AT,6216TG,669,40
6216AT,6226AB,487,38
6216AT,6229TG,504,39
6216AT,6229VE,761,47
6216AT,6222XT,524,39
6216AT,6222EH,409,38
6216AT,6217BC,345,38
6216AT,6227VK,854,145
6216AT,6211SJ,538,175
6216AT,6225CD,778,59
6216AT,6216SR,675,37
6216AT,6216SG,413,37
6216AT,6215VG,713,35
6216AT,6211AL,667,38
6216AT,6224JP,447,39
6216AT,6217NK,452,38
6216AT,6222BC,455,39
6216AT,6227SP,484,34
6216AT,6225AN,857,104
6216AT,6212GT,697,52
6216AT,6215TD,720,33
6216AT,6223AV,410,39
6216AT,6211EN,531,34
6216AT,6217KB,522,38
6216AT,6227SG,615,39
6216AT,6226AX,638,32
6216AT,6227BX,562,34
6216AT,6222TE,505,32
6216AT,6222XP,464,39
6216AT,6214PC,491,37
6216AT,6214TE,436,38
6216AT,6215TR,626,35
6216AT,6229BH,493,39
6216AT,6218CP,378,37
6216AT,6214SJ,414,38
6216AT,6228SC,536,37
6216AT,6224EW,476,38
6216AT,6218AZ,362,38
6216AT,6219AE,635,26
6216AT,6223BG,474,39
6216AT,6214AA,497,18
6216AT,6217JM,575,23
6216AT,6213AM,617,40
6216AT,6211LM,417,38
6216AT,6217KT,543,131
6216AT,6227AT,566,137
6216AT,6227XJ,729,232
6216AT,6222SJ,451,39
6216AT,6211JM,707,185
6216AT,6215TE,631,33
6216AT,6219BW,615,40
6216AT,6221CG,648,25
6216AT,6219AS,652,30
6216AT,6219AN,633,39
6216AT,6216RG,568,22
6216AT,6216CT,542,22
6216AT,6216EP,568,16
6216AT,6227VE,844,144
6216AT,6217AK,368,37
6216AT,6221GB,564,17
6216AT,6227VD,843,26
6216AT,6211CR,530,133
6216AT,6216PV,798,28
6216AT,6226CR,462,39
6216AT,6216XH,328,37
6216AT,6227GJ,435,39
6216AT,6223BJ,438,39
6216AT,6225GP,615,25
6216AT,6211EM,596,19
6216AT,6216SP,669,28
6216AT,6221JD,397,38
6216AT,6225DG,865,133
6216AT,6227EG,530,34
6216AT,6212AE,606,37
6216AT,6216TC,709,33
6216AT,6229HD,479,39
6216AT,6221GK,410,38
6216AT,6224XD,456,39
6216AT,6223CT,531,37
6216AT,6222EB,502,39
6216AT,6211KG,749,28
6216AT,6211PD,473,25
6216AT,6224VB,502,39
6216AT,6224KZ,487,34
6216AT,6215SH,822,29
6216AT,6216AS,512,169
6216AT,6216AJ,560,33
6216AT,6218GH,934,26
6216AT,6221AX,715,132
6216AT,6214AT,459,34
6216AT,6211GB,491,38
6216AT,6221CK,702,132
6216AT,6223GB,479,32
6216AT,6211AW,575,23
6216AT,6217JP,570,22
6216AT,6213GB,520,25
6216AT,6214SG,407,38
6216AT,6224HV,413,38
6216AT,6217HW,456,23
6216AT,6221XE,732,23
6216AT,6218BZ,313,36
6216AT,6211LG,390,36
6216AT,6216VT,383,37
6216AT,6219AZ,645,34
6216AT,6225HK,805,188
6216AT,6218VW,358,38
6216AT,6219BK,686,30
6216AT,6214TW,440,32
6216AT,6212AM,1102,181
6216AT,6228EM,454,39
6216AT,6223HB,523,39
6216AT,6216XP,532,37
6216AT,6221VZ,680,25
6216AT,6217AV,403,24
6216AT,6227GM,481,39
6216AT,6214TB,420,38
6216AT,6211GC,488,23
6216AT,6229HB,498,39
6216AT,6222WJ,454,39
6216AT,6227AS,456,24
6216AT,6229WP,533,39
6216AT,6219NM,693,20
6216AT,6226GC,458,39
6216AT,6226XK,521,39
6216AT,6227GT,477,39
6216AT,6221AW,754,132
6216AT,6216SM,651,40
6216AT,6213KE,946,28
6216AT,6226ED,494,38
6216AT,6227TE,560,39
6216AT,6211NE,417,38
6216AT,6223AG,440,39
6216AT,6224GK,431,38
6216AT,6214TD,456,23
6216AT,6213BL,591,35
6216AT,6212XB,431,37
6216AT,6211JX,1057,181
6216AT,6227HD,466,39
6216AT,6225GG,771,57
6216AT,6214RT,388,38
6216AT,6217LX,432,38
6216AT,6211MZ,442,38
6216AT,6215ES,580,35
6216AT,6214RB,453,38
6216AT,6215PZ,586,33
6216AT,6217KJ,467,38
6216AT,6215SZ,721,41
6216AT,6223BM,405,39
6216AT,6211JB,426,38
6216AT,6223ED,719,23
6216AT,6225AA,983,233
6216AT,6217KZ,543,23
6216AT,6217XG,383,38
6216AT,6214TK,458,38
6216AT,6226GT,583,22
6216AT,6229ZC,575,37
6216AT,6228HW,560,39
6216AT,6216RN,838,148
6216AT,6218CK,348,38
6216AT,6226XE,509,34
6216AT,6226BG,453,36
6216AT,6224TW,515,37
6216AT,6211RT,506,38
6216AT,6227TL,618,25
6216AT,6227XN,809,25
6216AT,6211HH,145,38
6216AT,6211XB,622,177
6216AT,6215KL,579,32
6216AT,6226VR,466,39
6216AT,6221GG,436,39
6216AT,6227RP,666,25
6216AT,6222BN,449,39
6216AT,6211HZ,693,146
6216AT,6219BV,573,40
6216AT,6216BL,339,37
6216AT,6218CM,346,38
6216AT,6223CS,426,39
6216AT,6211BG,677,25
6216AT,6221EN,513,25
6216AT,6213GA,422,38
6216AT,6228AX,481,39
6216AT,6218AV,327,37
6216AT,6218AL,348,38
6216AT,6224BK,661,24
6216AT,6218CW,361,38
6216AT,6216TN,570,40
6216AT,6224GT,425,39
6216AT,6216RS,546,22
6216AT,6218GT,598,40
6216AT,6222XX,465,39
6216AT,6215TA,594,40
6216AT,6217EP,437,22
6216AT,6213GR,1232,40
6216AT,6227VB,828,135
6216AT,6214VV,721,106
6216AT,6227XL,599,38
6216AT,6217NB,436,38
6216AT,6216NZ,658,40
6216AT,6229BK,508,39
6216AT,6224AS,445,34
6216AT,6214XZ,861,193
6216AT,6223GN,441,39
6216AT,6211PZ,459,38
6211LR,6217KS,468,84
6211LR,6216TS,369,38
6211LR,6223BD,505,39
6211LR,6226GM,548,18
6211LR,6224EG,786,19
6211LR,6227SW,540,29
6211LR,6225GN,673,40
6211LR,6211TC,299,37
6211LR,6216ER,513,14
6211LR,6219AW,534,38
6211LR,6217CA,454,38
6211LR,6225GW,603,24
6211LR,6215XT,581,23
6211LR,6214SL,434,38
6211LR,6212XC,323,37
6211LR,6227EN,430,38
6211LR,6218XC,395,38
6211LR,6211GD,496,32
6211LR,6213GB,354,164
6211LR,6227BN,601,32
6211LR,6222BC,498,24
6211LR,6214XL,524,22
6211LR,6224AX,515,39
6211LR,6213JN,1125,35
6211LR,6216PT,566,22
6211LR,6211KX,301,37
6211LR,6211MA,401,37
6211LR,6224XW,486,39
6211LR,6216SE,452,34
6211LR,6213BG,393,22
6211LR,6226AK,440,38
6211LR,6222AT,523,39
6211LR,6215TB,351,37
6211LR,6213HK,1110,22
6211LR,6224LE,549,33
6211LR,6218HE,550,39
6211LR,6215RL,489,24
6211LR,6227HB,565,40
6211LR,6214SC,356,37
6211LR,6224HX,479,39
6211LR,6221BZ,622,23
6211LR,6228EL,410,38
6211LR,6222SR,579,25
6211LR,6218VC,446,38
6211LR,6212XS,646,31
6211LR,6227VR,615,33
6211LR,6217AT,433,38
6211LR,6224GC,518,39
6211LR,6225EH,622,266
6211LR,6224AP,677,24
6211LR,6216PE,476,35
6211LR,6217CR,523,23
6211LR,6211SK,674,19
6211LR,6216SN,433,35
6211LR,6217BS,432,31
6211LR,6222AE,506,39
6211LR,6229HK,498,39
6211LR,6212AN,841,131
6211LR,6228HH,409,38
6211LR,6223AJ,378,38
6211LR,6213GW,1169,134
6211LR,6217NB,466,32
6211LR,6229TH,404,38
6211LR,6227ED,553,33
6211LR,6211GC,339,38
6211LR,6221TM,634,41
6211LR,6216PN,555,21
6211LR,6222ST,629,23
6211LR,6217KH,569,25
6211LR,6229WK,476,38
6211LR,6227VD,638,179
6211LR,6217LW,491,32
6211LR,6222BA,517,32
6211LR,6225HC,600,26
6211LR,6227DB,542,34
6211LR,6215PX,352,38
6211LR,6221BR,755,23
6211LR,6222CN,361,38
6211LR,6221VZ,772,56
6211LR,6217AH,408,38
6211LR,6217LH,494,22
6211LR,6213GA,333,37
6211LR,6227HE,576,34
6211LR,6227EC,405,38
6211LR,6211JJ,343,37
6211LR,6214XA,542,38
6211LR,6228GW,463,24
6211LR,6226WT,662,186
6211LR,6214AA,465,128
6211LR,6228GA,453,39
6211LR,6211KH,413,37
6211LR,6224VB,493,39
6211LR,6226AB,434,38
6211LR,6218DA,403,38
6211LR,6217LR,496,37
6211LR,6226CJ,537,39
6211LR,6215TJ,324,38
6211LR,6216NS,400,38
6211LR,6217AK,428,38
6211LR,6225DK,673,25
6211LR,6212BW,856,170
6211LR,6222WD,470,39
6211LR,6217HV,458,37
6211LR,6226WP,828,26
6211LR,6212BD,989,44
6211LR,6228AK,540,32
6211LR,6225HD,698,19
6211LR,6215XM,661,44
6211LR,6224DC,409,38
6211LR,6216TR,416,21
6211LR,6227RM,533,32
6211LR,6222WK,474,39
6211LR,6228DK,376,38
6211LR,6212GS,502,37
6211LR,6211MZ,302,37
6211LR,6228CW,364,38
6211LR,6229TG,426,32
6211LR,6215VG,512,20
6211LR,6213AA,340,37
6211LR,6215RS,538,23
6211LR,6227TG,537,38
6211LR,6229VT,453,38
6211LR,6215RA,407,38
6211LR,6214VT,593,22
6211LR,6211JH,365,37
6211LR,6225EJ,734,182
6211LR,6224LG,453,38
6211LR,6224BA,694,37
6211LR,6211MV,353,37
6211LR,6221CM,537,39
6211LR,6222CB,364,38
6211LR,6222BT,568,21
6211LR,6211BG,704,23
6211LR,6229GD,341,37
6211LR,6218SW,386,38
6211LR,6216SM,467,23
6211LR,6221VM,428,94
6211LR,6211EA,520,34
6211LR,6225EA,739,40
6211LR,6227RS,488,37
6211LR,6212GD,759,37
6211LR,6216ST,424,23
6211LR,6223AG,508,39
6211LR,6212EH,939,37
6211LR,6218GD,453,38
6211LR,6218VN,436,33
6211LR,6211PA,357,37
6211LR,6226CB,391,38
6211LR,6222CH,381,38
6211LR,6211LM,305,37
6211LR,6224VX,518,39
6211LR,6211NA,355,37
6211LR,6227BT,522,26
6211LR,6221VB,466,39
6211LR,6227TS,577,23
6211LR,6228LE,371,38
6211LR,6217XN,498,38
6211LR,6226WB,701,22
6211LR,6219AK,533,19
6211LR,6224AN,554,39
6211LR,6218HK,624,37
6211LR,6218GJ,500,34
6211LR,6211NM,352,37
6211LR,6223AD,383,38
6211LR,6226BA,600,39
6211LR,6226DL,684,315
6211LR,6211JK,332,37
6211LR,6215TH,341,38
6211LR,6229AZ,333,126
6211LR,6215JS,429,21
6211LR,6219BP,517,38
6211LR,6215GH,398,38
6211LR,6226GP,521,39
6211LR,6226CW,552,37
6211LR,6225CH,971,23
6211LR,6217PA,659,19
6211LR,6229VZ,394,38
6211LR,6218GC,465,39
6211LR,6218CW,396,38
6211LR,6215PS,356,38
6211LR,6218AR,422,38
6211LR,6219BB,499,133
6211LR,6225XZ,551,184
6211LR,6218XD,430,38
6211LR,6216VC,431,24
6211LR,6224LP,409,23
6211LR,6223BH,527,39
6211LR,6227HA,567,40
6211LR,6222EC,369,38
6211LR,6224EE,682,132
6211LR,6228BN,441,38
6211LR,6229AX,368,38
6211LR,6224XJ,486,32
6211LR,6211NS,354,37
6211LR,6218VA,430,38
6211LR,6226DS,559,39
6211LR,6223CK,469,38
6211LR,6216PX,580,47
6211LR,6223HE,393,38
6211LR,6229WL,441,38
6211LR,6228GC,465,39
6211LR,6213EM,488,36
6211LR,6228SM,562,39
6211LR,6213EV,700,90
6211LR,6214XP,367,257
6211LR,6215PH,384,38
6211LR,6214XM,425,16
6211LR,6229WT,492,24
6211LR,6217PH,681,16
6211LR,6229GX,500,39
6211LR,6212NJ,432,221
6211LR,6213HV,1065,222
6211LR,6223CA,532,25
6211LR,6227XS,978,95
6211LR,6229ZD,468,17
6211LR,6221HG,468,71
6211LR,6227RG,658,101
6211LR,6211PG,381,37
6211LR,6226DA,604,33
6211LR,6222WE,511,39
6211LR,6218CC,432,38
6211LR,6227AV,498,39
6211LR,6217VP,434,87
6211LR,6221XT,380,37
6211LR,6222BZ,419,38
6211LR,6229TW,399,38
6211LR,6216RZ,471,129
6211LR,6216RE,584,33
6211LR,6213BV,405,24
6211LR,6228CM,443,27
6211LR,6221TX,660,35
6211LR,6211NG,458,23
6211LR,6228AL,554,25
6211LR,6213HT,1537,172
6211LR,6217VJ,457,38
6211LR,6214TT,369,22
6211LR,6226DM,654,25
6211LR,6216RL,523,85
6211LR,6211BC,726,138
6211LR,6223GZ,407,38
6211LR,6224GM,475,39
6211LR,6215VS,441,38
6211LR,6218HG,648,25
6211LR,6215RX,528,24
6211LR,6224XX,511,34
6211LR,6225ES,786,26
6211LR,6227SK,502,39
6211LR,6216CP,347,38
6211LR,6227SB,659,39
6211LR,6226AW,671,22
6211LR,6222CE,385,34
6211LR,6218RX,404,38
6211LR,6222WJ,528,39
6211LR,6227BJ,542,39
6211LR,6224KG,406,38
6211LR,6215EM,383,38
6211LR,6227VA,667,178
6211LR,6217XV,522,39
6211LR,6224TL,523,24
6211LR,6214VX,598,47
6211LR,6211AT,651,19
6211LR,6215RR,477,25
6211LR,6226BL,620,17
6211LR,6213JS,716,18
6211LR,6216BM,418,38
6211LR,6217JW,536,22
6211LR,6213GC,826,41
6211LR,6225HL,571,38
6211LR,6221HE,476,39
6211LR,6215VE,365,38
6211LR,6226EN,399,38
6211LR,6226GE,526,19
6211LR,6215BN,398,38
6211LR,6214TC,411,38
6211LR,6229HW,340,38
6211LR,6216TD,418,38
6211LR,6228LB,394,38
6211LR,6211LC,493,39
6211LR,6216SV,546,42
6211LR,6224XM,495,32
6211LR,6212XW,693,23
6211LR,6228HC,384,38
6211LR,6213GK,826,30
6211LR,6215SZ,358,38
6211LR,6215EP,368,38
6211LR,6229HH,364,22
6211LR,6214XJ,598,22
6211LR,6214VG,350,37
6211LR,6217HG,452,39
6211LR,6214AC,441,17
6211LR,6215BP,368,38
6211LR,6217EP,515,16
6211LR,6218AN,411,38
6211LR,6212BK,887,88
6211LR,6225GB,631,138
6211LR,6215JL,364,38
6211LR,6211LH,287,37
6211LR,6211BE,638,22
6211LR,6211PM,665,23
6211LR,6212EC,950,31
6211LR,6227VT,691,140
6211LR,6218WH,403,32
6211LR,6211BP,675,24
6211LR,6211AP,698,23
6211LR,6216PZ,582,22
6211LR,6228EB,393,32
6211LR,6217BR,422,20
6211LR,6229HE,348,38
6211LR,6224JV,390,38
6211LR,6221HB,470,34
6211LR,6226CP,557,23
6211LR,6224JP,419,38
6211LR,6218VG,404,34
6211LR,6221AC,742,219
6211LR,6216CJ,591,24
6211LR,6218BS,448,38
6211LR,6214AR,366,37
6211LR,6217GW,561,19
6211LR,6215KJ,370,38
6211LR,6228JB,376,38
6211LR,6221GE,477,39
6211LR,6224EN,510,33
6211LR,6218SE,489,38
6211LR,6224CT,663,21
6211LR,6225DH,713,24
6211LR,6222SN,602,25
6211LR,6216AC,487,23
6211LR,6225JM,816,45
6211LR,6221EK,510,25
6211LR,6212GT,586,17
6211LR,6216PH,463,18
6211LR,6215XD,430,32
6211LR,6226AT,498,37
6211LR,6218WB,430,38
6211LR,6223CL,364,38
6211LR,6221SW,471,40
6211LR,6222XS,493,34
6211LR,6212XK,331,35
6211LR,6214TH,355,38
6211LR,6225CA,677,23
6211LR,6211EL,628,22
6211LR,6225GA,634,17
6211LR,6212BA,903,20
6211LR,6215RB,371,38
6211LR,6229HZ,336,37
6211LR,6214AM,441,84
6211LR,6224TG,474,35
6211LR,6215XL,616,175
6211LR,6213BH,348,37
6211LR,6227AR,544,39
6211LR,6221CP,336,38
6211LR,6224VN,484,34
6211LR,6221JM,447,39
6211LR,6217VR,452,32
6211LR,6218GT,546,39
6211LR,6222ED,369,38
6211LR,6211SC,692,22
6211LR,6216XR,471,23
6211LR,6224BJ,756,24
6211LR,6217CB,474,36
6211LR,6225KM,738,47
6211LR,6223AE,385,38
6211LR,6214VZ,593,129
6211LR,6229BC,391,38
6211LR,6228EV,342,38
6211LR,6213KB,1196,18
6211LR,6216VJ,406,38
6211LR,6229TE,433,38
6211LR,6216PS,495,18
6211LR,6212AS,1169,33
6211LR,6226EJ,576,17
6211LR,6216PL,550,18
6211LR,6211KA,717,33
6211LR,6212CL,1151,37
6211LR,6229BD,377,38
6211LR,6213HG,654,19
6211LR,6214AP,384,37
6211LR,6228GN,485,34
6211LR,6212BT,837,170
6211LR,6217LP,530,23
6211LR,6215KC,403,38
6211LR,6222CP,373,36
6211LR,6217JJ,523,18
6211LR,6211ER,540,32
6211LR,6226GL,543,34
6211LR,6212BM,879,35
6211LR,6213AD,392,37
6211LR,6218ST,458,38
6211LR,6226XZ,579,32
6211LR,6227XN,1256,177
6211LR,6224VV,485,39
6211LR,6224JA,496,39
6211LR,6217LJ,515,18
6211LR,6211PC,381,37
6211LR,6216AT,520,38
6211LR,6221CX,567,23
6211LR,6211JA,345,37
6211LR,6214SR,457,23
6211LR,6222VV,518,34
6211LR,6226WX,753,28
6211LR,6211EB,493,39
6211LR,6215SM,364,38
6211LR,6222XW,543,39
6211LR,6218AT,389,88
6211LR,6216VP,408,38
6211LR,6227SZ,471,38
6211LR,6228EG,537,32
6211LR,6217BC,422,34
6211LR,6212BS,832,22
6211LR,6229AH,390,38
6211LR,6215XN,695,23
6211LR,6224HN,451,39
6211LR,6227CP,536,38
6211LR,6213GH,718,36
6211LR,6213BT,417,37
6211LR,6218WC,418,38
6211LR,6213JT,1091,22
6211LR,6212EL,1155,42
6211LR,6211LA,299,37
6211LR,6229EA,522,39
6211LR,6228HX,423,39
6211LR,6218BP,437,38
6211LR,6211RM,522,39
6211LR,6217EJ,484,38
6211LR,6227AL,544,39
6211LR,6221SG,450,38
6211LR,6227GN,378,38
6211LR,6229GC,352,38
6211LR,6216ES,465,19
6211LR,6224HT,384,38
6211LR,6217NV,647,16
6211LR,6224KB,484,32
6211LR,6217VK,438,38
6211LR,6225KL,645,23
6211LR,6215TZ,362,38
6211LR,6218BW,431,38
6211LR,6218EN,428,36
6211LR,6218GV,521,34
6211LR,6221VX,739,144
6211LR,6226XH,517,39
6211LR,6222BL,504,39
6211LR,6214BB,316,37
6211LR,6227SJ,509,25
6211LR,6219AX,517,177
6211LR,6229BH,422,37
6211LR,6217BW,423,38
6211LR,6229HD,402,38
6211LR,6222CZ,481,34
6211LR,6215EV,370,38
6211LR,6212ER,891,33
6211LR,6225BE,637,94
6211LR,6218RT,406,38
6211LR,6227EH,575,40
6211LR,6229XM,431,38
6211LR,6218HL,630,39
6211LR,6213CG,321,37
6211LR,6212NH,1260,37
6211LR,6219AS,499,38
6211LR,6221VW,499,39
6211LR,6226VJ,677,23
6211LR,6212HH,489,24
6211LR,6222EB,378,38
6211LR,6225EL,627,19
6211LR,6224GA,535,34
6211LR,6217LD,471,37
6211LR,6211XB,669,37
6211LR,6217NX,597,23
6211LR,6217GV,471,38
6211LR,6214RV,294,37
6211LR,6225BW,624,37
6211LR,6211XS,575,23
6211LR,6211PK,556,20
6211LR,6222PD,428,38
6211LR,6229AG,372,38
6211LR,6222EL,476,39
6211LR,6227TM,776,178
6211LR,6216VB,412,22
6211LR,6221KZ,457,39
6211LR,6228AE,402,31
6211LR,6212EX,868,82
6211LR,6217ET,633,36
6211LR,6213EC,681,216
6211LR,6226WG,706,36
6211LR,6211RC,500,38
6211LR,6216BH,381,38
6211LR,6224BB,719,138
6211LR,6214PM,433,172
6211LR,6214TR,347,37
6211LR,6224EX,485,39
6211LR,6228GJ,459,39
6211LR,6216PP,451,123
6211LR,6211NH,361,37
6211LR,6213CT,424,24
6211LR,6225AL,623,25
6211LR,6228JV,472,32
6211LR,6216TB,363,38
6211LR,6221BN,755,37
6211LR,6224VL,505,39
6211LR,6229AW,416,32
6211LR,6227TA,520,28
6211LR,6221XK,716,24
6211LR,6211SN,618,19
6211LR,6227BS,491,38
6211LR,6224TW,537,39
6211LR,6212HD,1114,166
6211LR,6215RH,431,38
6211LR,6229XP,404,38
6211LR,6214PA,467,22
6211LR,6222NA,638,26
6211LR,6212BP,925,22
6211LR,6218SH,463,38
6211LR,6221XD,740,24
6211LR,6224EV,495,39
6211LR,6225ET,752,184
6211LR,6222BP,457,39
6211LR,6223HA,404,32
6211LR,6227XH,535,29
6211LR,6215XR,703,134
6211LR,6226BR,593,39
6211LR,6226BG,532,39
6211LR,6221VT,473,39
6211LR,6213JV,636,126
6211LR,6218RB,396,38
6211LR,6221EW,380,38
6211LR,6211EV,560,23
6211LR,6223AX,501,39
6211LR,6222TZ,503,39
6211LR,6216TC,400,22
6211LR,6212XD,338,37
6211LR,6226HS,520,39
6211LR,6225KH,662,25
6211LR,6225AG,697,25
6211LR,6229VP,426,23
6211LR,6221AH,602,24
6211LR,6225BC,657,23
6211LR,6224LX,526,39
6211LR,6211RV,619,137
6211LR,6215TA,363,38
6211LR,6218GA,515,32
6211LR,6211ET,534,19
6211LR,6222CG,355,38
6211LR,6228BJ,481,131
6211LR,6222TX,509,39
6211LR,6222AL,519,39
6211LR,6222NE,745,140
6211LR,6216AZ,472,38
6211LR,6218XA,437,38
6211LR,6211SZ,495,39
6211LR,6211PS,474,34
6211LR,6224GX,452,38
6211LR,6225JT,650,23
6211LR,6217BH,444,38
6211LR,6212BL,938,175
6211LR,6216AP,496,16
6211LR,6211MB,397,35
6211LR,6225BR,634,19
6211LR,6213HP,1087,84
6211LR,6224VT,487,39
6211LR,6211RL,606,39
6211LR,6222EM,402,18
6211LR,6222SK,521,39
6211LR,6228XV,638,175
